player_id,player_name,position,TD_2018,TD_2019,TD_2020,TD_2021,TD_2022,TD_2023,TD_2024,avg_yds_after_catch_2018,avg_yds_after_catch_2019,avg_yds_after_catch_2020,avg_yds_after_catch_2021,avg_yds_after_catch_2022,avg_yds_after_catch_2023,avg_yds_after_catch_2024,avg_yds_per_carry_2018,avg_yds_per_carry_2019,avg_yds_per_carry_2020,avg_yds_per_carry_2021,avg_yds_per_carry_2022,avg_yds_per_carry_2023,avg_yds_per_carry_2024,completion_rate_2018,completion_rate_2019,completion_rate_2020,completion_rate_2021,completion_rate_2022,completion_rate_2023,completion_rate_2024,games_played_2018,games_played_2019,games_played_2020,games_played_2021,games_played_2022,games_played_2023,games_played_2024,receive_attempts_2018,receive_attempts_2019,receive_attempts_2020,receive_attempts_2021,receive_attempts_2022,receive_attempts_2023,receive_attempts_2024,rush_attempts_2018,rush_attempts_2019,rush_attempts_2020,rush_attempts_2021,rush_attempts_2022,rush_attempts_2023,rush_attempts_2024,team_2025,division,stadium_type,BYE,exp,pos_roster,avg_team_time_on_offense,strength_o_line,strength_of_schedule_calc,strength_of_qb,odd_run,odd_throw,games_played_total_career,avg_games_played_per_szn
00-0025394,A.Peterson,RB,8.0,5.0,7.0,1.0,,,,10.05,9.470588235294118,8.583333333333334,4.75,,,,4.151394422310757,4.2559241706161135,3.871794871794872,2.2457912457912457,,,,,,,,,,,16.0,15.0,16.0,4.0,,,,26.0,23.0,18.0,2.0,,,,251.0,211.0,156.0,19.0,,,,TEN,AFC South,outdoor,13.0,,,65.11111111111111,46.797688,0.4759685160613953,0.6702702702702703,0.4641638,0.53583616,55,13.75
00-0025396,T.Ginn,WR,2.0,2.0,0.0,,,,,2.4782608695652173,1.5483870967741935,3.333333333333333,,,,,8.666666666666666,6.0,,,,,,,,,,,,,7.0,16.0,3.0,,,,,43.0,58.0,6.0,,,,,3.0,3.0,0.0,,,,,CHI,NFC North,outdoor,11.0,13.0,WR,63.70588235294117,68.71866,0.4944252210688197,0.5053825179592051,0.3508772,0.64912283,26,8.666666666666666
00-0025399,M.Lynch,RB,3.0,4.0,,,,,,6.0,11.5,,,,,,4.177777777777778,2.2333333333333334,,,,,,,,,,,,,6.0,3.0,,,,,,20.0,3.0,,,,,,90.0,30.0,,,,,,SEA,NFC West,outdoor,11.0,12.0,RB,63.61111111111112,44.799603,0.5306886156021863,0.658578856152513,0.4,0.6,9,4.5
00-0025418,G.Olsen,TE,4.0,2.0,1.0,,,,,3.111111111111111,3.865384615384616,2.0416666666666665,,,,,,,,,,,,,,,,,,,9.0,14.0,11.0,,,,,38.0,82.0,37.0,,,,,0.0,0.0,0.0,,,,,SEA,NFC West,outdoor,6.0,13.0,TE,62.52941176470589,47.5592,0.4505630425544831,0.7376068376068377,0.33960488,0.6603951,34,11.333333333333334
00-0025708,M.Moore,QB,,4.0,,,,,,,,,,,,,,-0.2,,,,,,,0.6483516483516484,,,,,,,6.0,,,,,,,0.0,,,,,,,5.0,,,,,,KC,AFC West,outdoor,12.0,12.0,QB,60.47368421052632,78.362206,0.5243626998352434,,0.3394256,0.66057444,6,6.0
00-0026035,D.Amendola,WR,2.0,2.0,0.0,3.0,,,,3.8813559322033897,3.338709677419355,6.304347826086956,4.375,,,,-2.0,,2.0,,,,,1.0,1.0,,0.0,,,,15.0,15.0,14.0,8.0,,,,79.0,97.0,69.0,38.0,,,,1.0,0.0,1.0,0.0,,,,HOU,AFC South,indoor,10.0,13.0,WR,59.1764705882353,51.084877,0.4926962735558619,0.6370896785109983,0.39065605,0.60934395,52,13.0
00-0026143,M.Ryan,QB,39.0,27.0,28.0,21.0,15.0,,,4.0,,,,,,,3.787878787878788,4.323529411764706,3.1724137931034484,2.05,2.592592592592593,,,0.694078947368421,0.6623376623376623,0.6501597444089456,0.6696428571428571,0.6702819956616052,,,16.0,15.0,16.0,17.0,12.0,,,1.0,0.0,0.0,0.0,0.0,,,33.0,34.0,29.0,40.0,27.0,,,IND,AFC South,indoor,14.0,14.0,QB,64.70588235294117,36.989517,0.4991207835043202,,0.37363636,0.62636364,76,15.2
00-0026153,J.Stewart,RB,0.0,,,,,,,,,,,,,,2.833333333333333,,,,,,,,,,,,,,3.0,,,,,,,0.0,,,,,,,6.0,,,,,,,NYG,NFC East,outdoor,9.0,10.0,RB,61.5625,49.3446,0.5164164624183006,0.3298611111111111,0.35228425,0.64771575,3,3.0
00-0026158,J.Flacco,QB,12.0,6.0,6.0,3.0,5.0,14.0,12.0,,,,,,,,2.3684210526315788,1.6666666666666667,3.6666666666666665,1.5,2.0,1.25,2.888888888888889,0.6121372031662269,0.6526717557251909,0.5522388059701493,0.6428571428571429,0.5759162303664922,0.628,0.6532258064516129,9.0,8.0,5.0,2.0,5.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,12.0,6.0,2.0,3.0,12.0,9.0,IND,AFC South,indoor,14.0,16.0,QB,60.8235294117647,65.39625,0.4432556304255448,,0.44970986,0.5502901,42,6.0
00-0026176,J.Nelson,WR,3.0,,,,,,,3.8253968253968256,,,,,,,-2.0,,,,,,,,,,,,,,15.0,,,,,,,88.0,,,,,,,1.0,,,,,,,LV,AFC West,indoor,,,,61.125,38.68121,,0.5111512959614225,0.37627813,0.6237219,15,15.0
