season,player_id,player_name,position,team_2025,rush_attempts,rushing_yards,rushing_tds,receive_attempts,receptions,receiving_yards,receiving_tds,receiving_yards_after_catch,passing_tds,completions,attempts,passing_yards,games_played,completion_rate,avg_yds_per_carry,avg_yds_after_catch,TD,player_name_roster,pos_roster,exp,jersey_number,status,games_played_total_career,seasons_in_data,avg_games_played_per_szn,run_plays,pass_plays,total_plays,odd_run,odd_throw,strength_o_line,avg_team_time_on_offense,strength_of_schedule_calc,BYE,division,stadium_type,strength_of_qb,headshot_url,espn_id,image_url
2019,00-0035676,A.Brown,WR,TEN,4,69.0,1,94,57,1115.0,8,503.0,0,0,0,0.0,19,,17.25,8.824561403508772,9,A.J. Brown,WR,0.0,11.0,ACT,102,6,17.0,493.0,601.0,1094.0,0.45063984,0.54936016,23.713654,57.578947368421055,0.529395922727355,11.0,AFC South,outdoor,0.640622195095681,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ucz9frks91kdccmgkkct",4047646,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ucz9frks91kdccmgkkct"
2020,00-0027793,A.Brown,WR,TB,3,20.0,0,74,53,564.0,6,273.0,0,0,0,0.0,11,,6.666666666666667,5.150943396226415,6,Antonio Brown,WR,10.0,81.0,ACT,34,4,8.5,451.0,796.0,1247.0,0.361668,0.638332,84.79518,62.35,0.5199948400412796,13.0,NFC South,outdoor,0.603442513368984,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cyerysyv0ar5zndo5wik",13934,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cyerysyv0ar5zndo5wik"
2020,00-0035676,A.Brown,WR,TEN,0,0.0,0,116,76,1158.0,12,453.0,0,0,0,0.0,15,,,5.9605263157894735,12,A.J. Brown,WR,1.0,11.0,ACT,102,6,17.0,512.0,561.0,1073.0,0.47716683,0.52283317,74.50779,63.11764705882353,0.4691376292519071,4.0,AFC South,outdoor,0.4950690335305719,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ucz9frks91kdccmgkkct",4047646,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ucz9frks91kdccmgkkct"
2021,00-0027793,A.Brown,WR,TB,1,6.0,0,62,42,545.0,4,190.0,0,0,0,0.0,7,,6.0,4.523809523809524,4,Antonio Brown,WR,11.0,81.0,CUT,34,4,8.5,402.0,861.0,1263.0,0.3182898,0.68171024,85.10158,66.47368421052632,0.4811745566185846,9.0,NFC South,outdoor,0.6539842873176207,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ecxsx9t7bfg42bgfwj3v",13934,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ecxsx9t7bfg42bgfwj3v"
2021,00-0035676,A.Brown,WR,TEN,2,10.0,0,114,68,1011.0,6,250.0,0,0,2,0.0,14,0.0,5.0,3.676470588235294,6,A.J. Brown,WR,2.0,11.0,ACT,102,6,17.0,544.0,628.0,1172.0,0.4641638,0.53583616,46.797688,65.11111111111111,0.4759685160613953,13.0,AFC South,outdoor,0.6702702702702703,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oiacjddbxvaeiewm9v62",4047646,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oiacjddbxvaeiewm9v62"
2022,00-0035676,A.Brown,WR,PHI,0,0.0,0,167,101,1642.0,12,603.0,0,0,0,0.0,20,,,5.97029702970297,12,A.J. Brown,WR,3.0,11.0,ACT,102,6,17.0,594.0,720.0,1314.0,0.4520548,0.5479452,55.79249,65.7,0.4956776745786033,7.0,NFC East,outdoor,0.6221976330222265,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sb8stxfvnkedmhs6c1fx",4047646,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sb8stxfvnkedmhs6c1fx"
2022,00-0037175,A.Brown,QB,BAL,3,-5.0,0,0,0,0.0,0,0.0,0,22,49,302.0,2,0.4489795918367347,-1.6666666666666667,,0,Anthony Brown,QB,0.0,12.0,ACT,2,1,2.0,500.0,596.0,1096.0,0.45620438,0.54379565,55.380417,60.888888888888886,0.5155276535565494,10.0,AFC North,outdoor,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/b6mtqp6vtv5tgsxesv9w",,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/b6mtqp6vtv5tgsxesv9w"
2023,00-0035676,A.Brown,WR,PHI,0,0.0,0,158,106,1456.0,7,473.0,0,0,0,0.0,17,,,4.462264150943396,7,A.J. Brown,WR,4.0,11.0,INA,102,6,17.0,466.0,692.0,1158.0,0.40241796,0.59758204,61.29359,64.33333333333333,0.4776942355889724,10.0,NFC East,outdoor,0.6550572881098717,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a014sgzctarbvhwb35lw",4047646,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a014sgzctarbvhwb35lw"
2024,00-0035676,A.Brown,WR,PHI,0,0.0,0,120,79,1242.0,9,401.0,0,0,0,0.0,17,,,5.075949367088608,9,A.J. Brown,WR,5.0,11.0,ACT,102,6,17.0,691.0,650.0,1341.0,0.5152871,0.4847129,35.011185,63.85714285714285,0.4905671040345963,5.0,NFC East,outdoor,0.6468466305366902,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a014sgzctarbvhwb35lw",4047646,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a014sgzctarbvhwb35lw"
2018,00-0034772,A.Callaway,WR,CLE,2,7.0,0,79,43,586.0,5,236.0,0,0,0,0.0,16,,3.5,5.488372093023256,5,Antonio Callaway,WR,0.0,11.0,ACT,23,3,7.666666666666667,373.0,643.0,1016.0,0.367126,0.632874,62.76318,63.5,0.498953227124183,11.0,AFC North,outdoor,0.5659888646816751,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eydr6upreksg0xwzztvw",3915097,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eydr6upreksg0xwzztvw"
