season,player_id,player_name,position,team_2025,rush_attempts,rushing_yards,rushing_tds,receive_attempts,receptions,receiving_yards,receiving_tds,receiving_yards_after_catch,passing_tds,completions,attempts,passing_yards,games_played,completion_rate,avg_yds_per_carry,avg_yds_after_catch,TD,player_name_roster,pos_roster,exp,jersey_number,status,games_played_total_career,seasons_in_data,avg_games_played_per_szn,run_plays,pass_plays,total_plays,odd_run,odd_throw,strength_o_line,avg_team_time_on_offense,strength_of_schedule_calc,BYE,division,stadium_type,strength_of_qb,headshot_url,espn_id,image_url
2022,00-0037197,I.Pacheco,RB,KC,207,1027.0,6,21,19,195.0,0,246.0,0,0,0,0.0,20,,4.961352657004831,12.947368421052632,6,Isiah Pacheco,RB,0.0,10.0,ACT,48,3,16.0,423.0,844.0,1267.0,0.3338595,0.6661405,85.546425,63.35,0.4778353973168214,8.0,AFC West,outdoor,0.6166815210932859,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s9suhdxobh0p5nbwxq8t",4361529,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s9suhdxobh0p5nbwxq8t"
2023,00-0037197,I.Pacheco,RB,KC,286,1248.0,10,61,56,304.0,2,434.0,0,0,0,0.0,18,,4.363636363636363,7.75,12,Isiah Pacheco,RB,1.0,10.0,ACT,48,3,16.0,440.0,882.0,1322.0,0.33282906,0.66717094,82.73301,62.95238095238095,0.5123642439431914,10.0,AFC West,outdoor,0.5956147070088089,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rzr8nxjunjeiv8bjir59",4361529,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rzr8nxjunjeiv8bjir59"
2024,00-0037197,I.Pacheco,RB,KC,96,347.0,1,21,15,96.0,0,138.0,0,0,0,0.0,10,,3.6145833333333335,9.2,1,Isiah Pacheco,RB,2.0,10.0,ACT,48,3,16.0,438.0,790.0,1228.0,0.35667753,0.64332247,56.569695,61.4,0.5115963929431422,6.0,AFC West,outdoor,0.6523858592263792,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rzr8nxjunjeiv8bjir59",4361529,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rzr8nxjunjeiv8bjir59"
2018,00-0034378,I.Smith,RB,ATL,90,315.0,4,32,27,152.0,0,160.0,0,0,0,0.0,13,,3.5,5.925925925925926,4,Ito Smith,RB,0.0,25.0,RES,35,4,8.75,327.0,681.0,1008.0,0.32440478,0.6755952,60.390675,63.0,0.4686223447712418,8.0,NFC South,indoor,0.7041823308270676,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mafqxcujuo2zhfx9ry5d",3123969,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mafqxcujuo2zhfx9ry5d"
2019,00-0034378,I.Smith,RB,ATL,22,106.0,1,14,11,87.0,0,72.0,0,0,0,0.0,7,,4.818181818181818,6.545454545454546,1,Ito Smith,RB,1.0,25.0,RES,35,4,8.75,329.0,761.0,1090.0,0.30183485,0.6981651,56.68,68.125,0.5314770919332645,9.0,NFC South,indoor,0.7043031595270401,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mafqxcujuo2zhfx9ry5d",3123969,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mafqxcujuo2zhfx9ry5d"
2019,00-0034970,I.Smith,TE,MIN,0,0.0,0,50,39,350.0,2,147.0,0,0,0,0.0,15,,,3.769230769230769,2,Irv Smith,TE,0.0,84.0,ACT,46,5,9.2,502.0,575.0,1077.0,0.46610957,0.5338904,57.92812,59.833333333333336,0.5018215132056721,12.0,NFC North,indoor,0.6299603174603174,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cjlvftb8bdj5qoarcll2",4040980,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cjlvftb8bdj5qoarcll2"
2020,00-0034378,I.Smith,RB,ATL,63,268.0,1,26,17,75.0,0,81.0,0,0,0,0.0,14,,4.253968253968254,4.764705882352941,1,Ito Smith,RB,2.0,25.0,ACT,35,4,8.75,382.0,687.0,1069.0,0.35734332,0.6426567,62.227356,66.8125,0.5462998796009632,10.0,NFC South,indoor,0.6501597444089456,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xb6uporwyd1bmzuu3e7z",3123969,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xb6uporwyd1bmzuu3e7z"
2020,00-0034970,I.Smith,TE,MIN,0,0.0,0,43,30,365.0,5,126.0,0,0,0,0.0,12,,,4.2,5,Irv Smith,TE,1.0,84.0,ACT,46,5,9.2,448.0,576.0,1024.0,0.4375,0.5625,54.833126,64.0,0.4902471405228758,7.0,NFC North,indoor,0.6763565891472868,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/e3blveltgbptcpkzzpaw",4040980,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/e3blveltgbptcpkzzpaw"
2021,00-0034378,I.Smith,RB,DAL,1,4.0,1,0,0,0.0,0,0.0,0,0,0,0.0,1,,4.0,,1,Ito Smith,RB,3.0,43.0,DEV,35,4,8.75,455.0,757.0,1212.0,0.37541255,0.6245875,70.95983,67.33333333333333,0.4833467110040897,7.0,NFC East,indoor,0.6579595777977558,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dh6fxo1jdenrkgcwdpib",3123969,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dh6fxo1jdenrkgcwdpib"
2022,00-0034970,I.Smith,TE,MIN,0,0.0,0,38,26,185.0,3,91.0,0,0,0,0.0,9,,,3.5,3,Irv Smith,TE,3.0,84.0,ACT,46,5,9.2,396.0,774.0,1170.0,0.33846155,0.6615385,61.266075,65.0,0.4668252876199212,7.0,NFC North,indoor,0.7535777126099706,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/v3kmmpxj0x4jofgovvfx",4040980,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/v3kmmpxj0x4jofgovvfx"
2023,00-0034970,I.Smith,TE,CIN,0,0.0,0,26,18,115.0,1,66.0,0,0,0,0.0,9,,,3.6666666666666665,1,Irv Smith,TE,4.0,81.0,INA,46,5,9.2,337.0,695.0,1032.0,0.3265504,0.67344964,50.93355,60.70588235294117,0.5632717896240024,7.0,AFC North,outdoor,0.7240656181295452,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gvnnqr5kj0rtte3iw9mp",4040980,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gvnnqr5kj0rtte3iw9mp"
2024,00-0034970,I.Smith,TE,HOU,0,0.0,0,1,1,2.0,0,0.0,0,0,0,0.0,1,,,0.0,0,Irv Smith,TE,5.0,83.0,ACT,46,5,9.2,436.0,742.0,1178.0,0.37011886,0.62988114,36.51212,62.0,0.4967437944706969,14.0,AFC South,indoor,0.5956529885703579,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gvnnqr5kj0rtte3iw9mp",4040980,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gvnnqr5kj0rtte3iw9mp"
2021,00-0036635,I.Smith-Marsette,WR,MIN,0,0.0,0,6,5,116.0,2,17.0,0,0,0,0.0,3,,,3.4,2,Ihmir Smith-Marsette,WR,0.0,15.0,ACT,14,4,3.5,428.0,648.0,1076.0,0.3977695,0.6022305,74.55339,63.294117647058826,0.4963805129895095,7.0,NFC North,indoor,0.6469597940186175,,4240573,https://a.espncdn.com/i/headshots/nfl/players/full/4240573.png
2022,00-0036635,I.Smith-Marsette,WR,CHI,1,-1.0,0,4,1,15.0,0,5.0,0,0,0,0.0,3,,-1.0,5.0,0,,,,,,14,4,3.5,476.0,509.0,985.0,0.48324874,0.5167513,12.246025,57.94117647058823,0.554348529917643,14.0,NFC North,outdoor,0.4976741654571843,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ghg3rz4z8hbz9ljf0mt3",4240573,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ghg3rz4z8hbz9ljf0mt3"
2023,00-0036635,I.Smith-Marsette,WR,CAR,8,74.0,1,10,8,51.0,0,48.0,0,0,0,0.0,7,,9.25,6.0,1,Ihmir Smith-Marsette,WR,2.0,11.0,ACT,14,4,3.5,411.0,683.0,1094.0,0.37568554,0.6243144,29.54271,64.3529411764706,0.5166312551852527,7.0,NFC South,outdoor,0.5919649283517634,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zwkymyn01hepugxnitac",4240573,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zwkymyn01hepugxnitac"
2024,00-0036635,I.Smith-Marsette,WR,NYG,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,1,,,,0,Ihmir Smith-Marsette,WR,3.0,87.0,ACT,14,4,3.5,382.0,669.0,1051.0,0.36346337,0.63653666,51.111824,61.8235294117647,0.5490849384129296,11.0,NFC East,outdoor,0.6072841901459796,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jiygo0pmglxgropuaqwg",4240573,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jiygo0pmglxgropuaqwg"
2022,00-0038045,I.Spiller,RB,LAC,18,41.0,0,3,3,13.0,0,23.0,0,0,0,0.0,5,,2.2777777777777777,7.666666666666667,0,Isaiah Spiller,RB,0.0,28.0,INA,14,2,7.0,385.0,820.0,1205.0,0.3195021,0.68049794,70.019165,66.94444444444444,0.4429566563467492,8.0,AFC West,outdoor,0.6716082659478886,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h5tla3qphh2b3ocr9p1b",4426891,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h5tla3qphh2b3ocr9p1b"
2023,00-0038045,I.Spiller,RB,LAC,37,96.0,0,6,6,34.0,0,39.0,0,0,0,0.0,9,,2.5945945945945947,6.5,0,Isaiah Spiller,RB,1.0,28.0,INA,14,2,7.0,381.0,715.0,1096.0,0.34762773,0.65237224,61.803616,64.47058823529412,0.5298216706703321,5.0,AFC West,outdoor,0.6446234119782215,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mmgppj4johvoldlpuns3",4426891,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mmgppj4johvoldlpuns3"
2018,00-0034365,I.Thomas,TE,CAR,0,0.0,0,49,36,333.0,2,158.0,0,0,0,0.0,10,,,4.388888888888889,2,Ian Thomas,TE,0.0,80.0,ACT,69,7,9.857142857142858,372.0,626.0,998.0,0.37274548,0.6272545,70.11246,62.375,0.4936683006535948,4.0,NFC South,outdoor,0.6513171412195993,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gjnpi3smp9569mct38ap",4045305,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gjnpi3smp9569mct38ap"
2019,00-0034365,I.Thomas,TE,CAR,0,0.0,0,30,16,136.0,1,77.0,0,0,0,0.0,9,,,4.8125,1,Ian Thomas,TE,1.0,80.0,ACT,69,7,9.857142857142858,357.0,716.0,1073.0,0.33271202,0.667288,42.586494,67.0625,0.5361492733058135,7.0,NFC South,outdoor,0.5732970643703393,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gjnpi3smp9569mct38ap",4045305,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gjnpi3smp9569mct38ap"
2020,00-0034365,I.Thomas,TE,CAR,0,0.0,0,31,20,145.0,1,78.0,0,0,0,0.0,13,,,3.9,1,Ian Thomas,TE,2.0,80.0,ACT,69,7,9.857142857142858,358.0,624.0,982.0,0.36456212,0.6354379,64.057785,61.375,0.5279175266597868,13.0,NFC South,outdoor,0.6312427409988386,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pmvbtqgbwm1vlunfc1gw",4045305,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pmvbtqgbwm1vlunfc1gw"
2021,00-0034365,I.Thomas,TE,CAR,0,0.0,0,30,18,188.0,0,92.0,0,0,0,0.0,14,,,5.111111111111111,0,Ian Thomas,TE,3.0,80.0,ACT,69,7,9.857142857142858,416.0,683.0,1099.0,0.37852594,0.6214741,47.072536,64.6470588235294,0.4963880288957688,13.0,NFC South,outdoor,0.5638652535204259,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/muexy83vlyemrbzbd5vg",4045305,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/muexy83vlyemrbzbd5vg"
2022,00-0034365,I.Thomas,TE,CAR,0,0.0,0,30,21,197.0,0,182.0,0,0,0,0.0,13,,,8.666666666666666,0,Ian Thomas,TE,4.0,80.0,ACT,69,7,9.857142857142858,461.0,510.0,971.0,0.47476828,0.5252317,52.180767,57.11764705882353,0.4646340476335013,13.0,NFC South,outdoor,0.5894309528171041,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cvlsjahsqootxcs6qytq",4045305,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cvlsjahsqootxcs6qytq"
2023,00-0034365,I.Thomas,TE,CAR,0,0.0,0,9,5,56.0,0,33.0,0,0,0,0.0,7,,,6.6,0,Ian Thomas,TE,5.0,80.0,ACT,69,7,9.857142857142858,411.0,683.0,1094.0,0.37568554,0.6243144,29.54271,64.3529411764706,0.5166312551852527,7.0,NFC South,outdoor,0.5919649283517634,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zhmboki1lwndau686wlv",4045305,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zhmboki1lwndau686wlv"
2024,00-0034365,I.Thomas,TE,CAR,0,0.0,0,6,3,7.0,0,6.0,0,0,0,0.0,3,,,2.0,0,Ian Thomas,TE,6.0,80.0,RES,69,7,9.857142857142858,359.0,628.0,987.0,0.36372846,0.63627154,64.39622,58.05882352941177,0.4901164387323556,11.0,NFC South,outdoor,0.6359375,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qrcffo16hdkcvxuvjppy",4045305,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qrcffo16hdkcvxuvjppy"
2024,00-0039451,I.Williams,WR,DET,0,0.0,0,3,2,6.0,0,7.0,0,0,0,0.0,1,,,3.5,0,,,,,,1,1,1.0,524.0,640.0,1164.0,0.45017183,0.5498282,66.82518,64.66666666666667,0.5130747620685701,5.0,NFC North,indoor,0.7933218192285549,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yoarwrtz1qrxlek5ou8j",4569371,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yoarwrtz1qrxlek5ou8j"
2020,00-0036142,I.Wright,WR,WAS,3,16.0,0,36,27,197.0,0,143.0,0,0,1,0.0,12,0.0,5.333333333333333,5.296296296296297,0,Isaiah Wright,WR,0.0,83.0,ACT,12,1,12.0,387.0,724.0,1111.0,0.34833482,0.65166515,51.04338,65.3529411764706,0.4621299500192234,8.0,NFC East,outdoor,0.6434010815181226,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ndgmtw52eaxjpuyfue4m",4044121,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ndgmtw52eaxjpuyfue4m"
2020,00-0036100,I.Zuber,WR,NE,2,21.0,0,2,2,29.0,0,30.0,0,0,0,0.0,4,,10.5,15.0,0,Isaiah Zuber,WR,0.0,19.0,DEV,4,1,4.0,468.0,500.0,968.0,0.48347107,0.5165289,48.901985,60.5,0.5174820476436188,5.0,AFC East,outdoor,0.5942028985507246,,3916129,https://a.espncdn.com/i/headshots/nfl/players/full/3916129.png
2018,00-0034457,J.Adams,RB,PHI,121,513.0,3,13,7,58.0,0,65.0,0,0,0,0.0,13,,4.239669421487603,9.285714285714286,3,Josh Adams,RB,0.0,33.0,ACT,21,3,7.0,411.0,727.0,1138.0,0.36115992,0.6388401,65.25153,63.22222222222222,0.5329890971983335,9.0,NFC East,outdoor,0.6291633072706704,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ekntdhjr8lvzvisvailr",3932420,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ekntdhjr8lvzvisvailr"
2019,00-0034457,J.Adams,RB,NYJ,8,12.0,0,0,0,0.0,0,0.0,0,0,0,0.0,2,,1.5,,0,Josh Adams,RB,1.0,36.0,INA,21,3,7.0,361.0,584.0,945.0,0.38201058,0.6179894,35.185875,59.0625,0.4572610294117647,4.0,AFC East,outdoor,0.5876277451619917,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ekntdhjr8lvzvisvailr",3932420,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ekntdhjr8lvzvisvailr"
2020,00-0034457,J.Adams,RB,NYJ,29,157.0,2,8,6,29.0,0,24.0,0,0,0,0.0,6,,5.413793103448276,4.0,2,Josh Adams,RB,2.0,36.0,ACT,21,3,7.0,368.0,572.0,940.0,0.39148936,0.6085106,47.95657,58.75,0.5813607241142071,10.0,AFC East,outdoor,0.5741963260619978,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ekntdhjr8lvzvisvailr",3932420,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ekntdhjr8lvzvisvailr"
2023,00-0038994,J.Addison,WR,MIN,1,2.0,0,108,70,911.0,10,262.0,0,0,0,0.0,17,,2.0,3.742857142857143,10,Jordan Addison,WR,0.0,3.0,ACT,33,2,16.5,354.0,709.0,1063.0,0.33301976,0.66698027,56.138897,62.52941176470589,0.5089060598439582,13.0,NFC North,indoor,0.6623371276453089,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zhyhkz6wzwhioemhqgbk",,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zhyhkz6wzwhioemhqgbk"
2024,00-0038994,J.Addison,WR,MIN,3,20.0,1,107,66,904.0,9,213.0,0,0,0,0.0,16,,6.666666666666667,3.227272727272727,10,Jordan Addison,WR,1.0,3.0,ACT,33,2,16.5,423.0,677.0,1100.0,0.38454545,0.61545455,38.288708,61.11111111111112,0.4694033558842641,6.0,NFC North,indoor,0.8299145299145299,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tmyckmignrvy8truccwm",4429205,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tmyckmignrvy8truccwm"
2018,00-0033572,J.Agnew,WR,DET,1,17.0,0,0,0,0.0,0,0.0,0,0,0,0.0,1,,17.0,,0,,,,,,51,6,8.5,382.0,632.0,1014.0,0.37672585,0.62327415,57.444054,63.375,0.4890579312865497,6.0,NFC North,indoor,0.5365129835718071,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/j4o0hlzosptfefajmmgq",3061612,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/j4o0hlzosptfefajmmgq"
2019,00-0033572,J.Agnew,WR,DET,1,9.0,0,2,1,-2.0,0,1.0,0,0,0,0.0,4,,9.0,1.0,0,,,,,,51,6,8.5,372.0,639.0,1011.0,0.36795253,0.6320475,55.215973,63.1875,0.4982289516683866,5.0,NFC North,indoor,0.5911059197941531,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/j4o0hlzosptfefajmmgq",3061612,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/j4o0hlzosptfefajmmgq"
2020,00-0033572,J.Agnew,WR,DET,6,33.0,0,20,13,89.0,0,101.0,0,0,1,0.0,13,0.0,5.5,7.769230769230769,0,Jamal Agnew,WR,3.0,39.0,ACT,51,6,8.5,343.0,639.0,982.0,0.34928718,0.65071285,56.65728,61.375,0.4953022875816993,5.0,NFC North,indoor,0.6388213530655391,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ydreyggkymtptn8vpxxf",3061612,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ydreyggkymtptn8vpxxf"
2021,00-0033572,J.Agnew,WR,JAX,7,111.0,1,39,24,229.0,1,118.0,0,0,0,0.0,9,,15.857142857142858,4.916666666666667,2,Jamal Agnew,WR,4.0,39.0,RES,51,6,8.5,354.0,670.0,1024.0,0.34570312,0.6542969,73.20424,60.23529411764706,0.508349593707452,7.0,AFC South,outdoor,0.798172757475083,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ekqayurhdocxuvimyjy1",3061612,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ekqayurhdocxuvimyjy1"
2022,00-0033572,J.Agnew,WR,JAX,13,88.0,0,34,26,194.0,3,132.0,0,0,0,0.0,16,,6.769230769230769,5.076923076923077,3,Jamal Agnew,WR,5.0,39.0,ACT,51,6,8.5,452.0,744.0,1196.0,0.3779264,0.6220736,77.579346,62.94736842105263,0.4780565965998587,11.0,AFC South,outdoor,0.6457937584803257,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/u6fwq2c4wdtn1nz8vrd3",3061612,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/u6fwq2c4wdtn1nz8vrd3"
2023,00-0033572,J.Agnew,WR,JAX,4,-2.0,0,21,14,225.0,1,76.0,0,0,0,0.0,8,,-0.5,5.428571428571429,1,Jamal Agnew,WR,6.0,39.0,RES,51,6,8.5,391.0,711.0,1102.0,0.35480943,0.64519054,64.0079,64.82352941176471,0.5286191256688434,9.0,AFC South,outdoor,0.7053726749632009,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/at0skjo9xsjgobkvqqz5",3061612,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/at0skjo9xsjgobkvqqz5"
2018,00-0031590,J.Ajayi,RB,PHI,45,184.0,3,6,5,20.0,0,30.0,0,0,0,0.0,4,,4.088888888888889,6.0,3,Jay Ajayi,RB,3.0,26.0,RES,7,2,3.5,411.0,727.0,1138.0,0.36115992,0.6388401,65.25153,63.22222222222222,0.5329890971983335,9.0,NFC East,outdoor,0.6291633072706704,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bt0drbhvsjykf2xxvskx",2573300,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bt0drbhvsjykf2xxvskx"
2019,00-0031590,J.Ajayi,RB,PHI,10,30.0,0,1,0,0.0,0,0.0,0,0,0,0.0,3,,3.0,,0,Jay Ajayi,RB,4.0,28.0,CUT,7,2,3.5,443.0,716.0,1159.0,0.38222605,0.61777395,60.594673,68.17647058823529,0.4568435217224144,10.0,NFC East,outdoor,0.6803995710818895,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bt0drbhvsjykf2xxvskx",2573300,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bt0drbhvsjykf2xxvskx"
2018,00-0034364,J.Akins,TE,HOU,0,0.0,0,28,19,233.0,0,132.0,0,0,0,0.0,14,,,6.947368421052632,0,Jordan Akins,TE,0.0,88.0,ACT,99,7,14.142857142857142,415.0,678.0,1093.0,0.37968892,0.6203111,28.896332,64.29411764705883,0.4771671826625386,10.0,AFC South,indoor,0.6750902527075813,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eddkhw9lpz2lslot4aoj",3128452,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eddkhw9lpz2lslot4aoj"
2019,00-0034364,J.Akins,TE,HOU,0,0.0,0,55,36,418.0,2,246.0,0,0,0,0.0,16,,,6.833333333333333,2,Jordan Akins,TE,1.0,88.0,INA,99,7,14.142857142857142,419.0,729.0,1148.0,0.36498258,0.6350174,40.12682,63.77777777777778,0.5343997248022015,10.0,AFC South,indoor,0.6194481194481194,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eddkhw9lpz2lslot4aoj",3128452,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eddkhw9lpz2lslot4aoj"
2020,00-0034364,J.Akins,TE,HOU,1,4.0,0,49,37,403.0,1,172.0,0,0,0,0.0,13,,4.0,4.648648648648648,1,Jordan Akins,TE,2.0,88.0,ACT,99,7,14.142857142857142,272.0,660.0,932.0,0.2918455,0.7081545,47.419857,58.25,0.5175263910388717,8.0,AFC South,indoor,0.8511029411764706,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wuxw6o0sgzl77lnqifsz",3128452,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wuxw6o0sgzl77lnqifsz"
2021,00-0034364,J.Akins,TE,HOU,1,3.0,0,33,24,214.0,0,81.0,0,0,0,0.0,12,,3.0,3.375,0,Jordan Akins,TE,3.0,88.0,INA,99,7,14.142857142857142,393.0,613.0,1006.0,0.39065605,0.60934395,51.084877,59.1764705882353,0.4926962735558619,10.0,AFC South,indoor,0.6370896785109983,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kxfbhoxd0iqvufgqwnc3",3128452,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kxfbhoxd0iqvufgqwnc3"
2022,00-0034364,J.Akins,TE,HOU,0,0.0,0,54,37,495.0,5,270.0,0,0,0,0.0,15,,,7.297297297297297,5,Jordan Akins,TE,4.0,88.0,ACT,99,7,14.142857142857142,370.0,641.0,1011.0,0.36597428,0.6340257,62.593353,59.47058823529412,0.4687478500171998,6.0,AFC South,indoor,0.6331156433452884,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jewjor3rbkrnwksetwf0",3128452,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jewjor3rbkrnwksetwf0"
2023,00-0034364,J.Akins,TE,CLE,0,0.0,0,23,15,132.0,0,58.0,0,0,0,0.0,13,,,3.866666666666666,0,Jordan Akins,TE,5.0,84.0,ACT,99,7,14.142857142857142,503.0,748.0,1251.0,0.40207833,0.59792167,56.85959,69.5,0.5293142988189428,5.0,AFC North,outdoor,0.5528471719840141,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fgkl9zfpy2yxrkxfge84",3128452,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fgkl9zfpy2yxrkxfge84"
2024,00-0034364,J.Akins,TE,CLE,0,0.0,0,58,40,390.0,2,187.0,0,0,0,0.0,16,,,4.675,2,Jordan Akins,TE,6.0,88.0,ACT,99,7,14.142857142857142,351.0,770.0,1121.0,0.3131133,0.6868867,38.249825,65.94117647058823,0.5256290958075697,10.0,AFC North,outdoor,0.5697059826365458,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fgkl9zfpy2yxrkxfge84",3128452,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fgkl9zfpy2yxrkxfge84"
2022,00-0038149,J.Ali,WR,ATL,0,0.0,0,1,0,0.0,0,0.0,0,0,0,0.0,1,,,,0,Josh Ali,WR,0.0,80.0,ACT,1,1,1.0,512.0,488.0,1000.0,0.512,0.488,47.362667,58.8235294117647,0.4559734110362411,14.0,NFC South,indoor,0.6240579710144927,,,
2018,00-0031577,J.Allen,RB,BAL,41,110.0,3,43,35,196.0,2,177.0,0,0,0,0.0,11,,2.682926829268293,5.057142857142857,5,Javorius Allen,RB,3.0,37.0,ACT,14,2,7.0,527.0,646.0,1173.0,0.44927537,0.5507246,61.59026,69.0,0.4967320261437908,10.0,AFC North,outdoor,0.5044365774931533,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jguqo1kwlkfamf537de0",2577253,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jguqo1kwlkfamf537de0"
2018,00-0034857,J.Allen,QB,BUF,89,631.0,8,1,0,0.0,0,0.0,10,168,319,2044.0,12,0.5266457680250783,7.089887640449438,,18,Josh Allen,QB,0.0,17.0,ACT,123,7,17.571428571428573,404.0,597.0,1001.0,0.4035964,0.5964036,53.941257,62.5625,0.5155121259029928,11.0,AFC East,outdoor,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uyhjaf2okyygjyfzk8hc",3918298,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uyhjaf2okyygjyfzk8hc"
2019,00-0031577,J.Allen,RB,NYG,10,36.0,1,2,1,9.0,0,4.0,0,0,0,0.0,3,,3.6,4.0,1,Javorius Allen,RB,4.0,37.0,ACT,14,2,7.0,329.0,682.0,1011.0,0.32542038,0.6745796,59.12354,63.1875,0.4565206290849673,11.0,NFC East,outdoor,0.7459280008299616,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jguqo1kwlkfamf537de0",2577253,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jguqo1kwlkfamf537de0"
