season,team,run_plays,pass_plays,total_plays,odd_run,odd_throw,strength_o_line,avg_offensive_plays_per_game,strength_of_schedule
2020,PHI,358.0,717.0,1075.0,0.33302325,0.66697675,33.699024,67.1875,0.5190461601307189
2020,PIT,364.0,750.0,1114.0,0.32675046,0.67324954,100.0,65.52941176470588,0.4678640806167668
2020,SEA,361.0,702.0,1063.0,0.33960488,0.6603951,47.5592,62.529411764705884,0.4505630425544831
2020,SF,421.0,619.0,1040.0,0.4048077,0.5951923,59.164993,65.0,0.532670332387341
2020,TB,451.0,796.0,1247.0,0.361668,0.638332,84.79518,62.35,0.5199948400412796
2020,TEN,512.0,561.0,1073.0,0.47716683,0.52283317,74.50779,63.11764705882353,0.46913762925190716
2020,WAS,387.0,724.0,1111.0,0.34833482,0.65166515,51.04338,65.3529411764706,0.4621299500192234
2021,ARI,463.0,703.0,1166.0,0.39708406,0.60291594,63.478325,64.77777777777777,0.5039267558875402
2021,ATL,367.0,631.0,998.0,0.36773548,0.63226455,58.808945,58.705882352941174,0.46113235799995955
2021,BAL,434.0,743.0,1177.0,0.36873406,0.63126594,46.537148,69.23529411764706,0.524644367550942
2021,BUF,438.0,802.0,1240.0,0.3532258,0.6467742,83.88918,65.26315789473684,0.47830644723263266
2021,CAR,416.0,683.0,1099.0,0.37852594,0.6214741,47.072536,64.6470588235294,0.49638802889576883
2021,CHI,408.0,659.0,1067.0,0.38238052,0.6176195,36.133533,62.76470588235294,0.5124269728531248
2021,CIN,489.0,797.0,1286.0,0.38024884,0.61975116,31.679588,61.23809523809524,0.49986661331199145
2021,CLE,443.0,600.0,1043.0,0.42473635,0.5752637,41.977657,61.35294117647059,0.5000109847860713
2021,DAL,455.0,757.0,1212.0,0.37541255,0.6245875,70.95983,67.33333333333333,0.4833467110040897
2021,DEN,427.0,605.0,1032.0,0.41375968,0.5862403,56.299927,60.705882352941174,0.4724776184983797
2021,DET,413.0,643.0,1056.0,0.3910985,0.6089015,65.62784,62.11764705882353,0.5211786675454496
2021,GB,425.0,680.0,1105.0,0.3846154,0.61538464,65.72473,61.388888888888886,0.4825656188401286
2021,HOU,393.0,613.0,1006.0,0.39065605,0.60934395,51.084877,59.1764705882353,0.49269627355586193
2021,IND,461.0,583.0,1044.0,0.44157088,0.5584291,66.64005,61.411764705882355,0.48567468266976555
2021,JAX,354.0,670.0,1024.0,0.34570312,0.6542969,73.20424,60.23529411764706,0.508349593707452
2021,KC,424.0,897.0,1321.0,0.32096896,0.679031,79.15987,66.05,0.5319254017396432
2021,LA,504.0,805.0,1309.0,0.38502672,0.61497325,73.662445,62.333333333333336,0.504073442242394
2021,LAC,375.0,748.0,1123.0,0.33392698,0.666073,79.022446,66.05882352941177,0.4982369418355578
2021,LV,399.0,743.0,1142.0,0.34938705,0.65061295,63.890923,63.44444444444444,0.5103952692187986
2021,MIA,397.0,688.0,1085.0,0.3658986,0.6341014,63.645893,63.8235294117647,0.45213379469434833
2021,MIN,428.0,648.0,1076.0,0.3977695,0.6022305,74.55339,63.294117647058826,0.4963805129895095
2021,NE,476.0,621.0,1097.0,0.43391067,0.56608933,71.21648,60.94444444444444,0.48171081298016283
2021,NO,459.0,581.0,1040.0,0.44134617,0.55865383,58.540142,61.1764705882353,0.4971569639207592
2021,NYG,379.0,663.0,1042.0,0.3637236,0.63627636,64.325325,61.294117647058826,0.5276463939548988
2021,NYJ,356.0,680.0,1036.0,0.34362933,0.65637064,45.408787,60.94117647058823,0.5025814247267535
2021,PHI,502.0,628.0,1130.0,0.44424778,0.5557522,68.795845,62.77777777777778,0.47471811336620423
2021,PIT,410.0,756.0,1166.0,0.3516295,0.6483705,68.4622,64.77777777777777,0.5249673748641757
2021,SEA,378.0,569.0,947.0,0.39915523,0.6008448,42.735703,55.705882352941174,0.5127807985939473
2021,SF,553.0,643.0,1196.0,0.46237457,0.53762543,64.19551,59.8,0.52906162464986
2021,TB,402.0,861.0,1263.0,0.3182898,0.68171024,85.10158,66.47368421052632,0.48117455661858466
2021,TEN,544.0,628.0,1172.0,0.4641638,0.53583616,46.797688,65.11111111111111,0.47596851606139534
